season,team,P1_name,P1_salary,P2_name,P2_salary,P3_name,P3_salary,P4_name,P4_salary,P5_name,P5_salary,P6_name,P6_salary,P7_name,P7_salary,P8_name,P8_salary,P9_name,P9_salary,P10_name,P10_salary,P11_name,P11_salary,P12_name,P12_salary,P13_name,P13_salary,P14_name,P14_salary,P15_name,P15_salary
2024,Atlanta Hawks,Trae Young,43031940.0,Clint Capela,22265280.0,Caris LeVert,16615384.0,Onyeka Okongwu,14000000.0,Z. Risacher,12569040.0,Terance Mann,11423077.0,Larry Nance Jr.,11205000.0,Georges Niang,8500000.0,Dyson Daniels,6059520.0,Jalen Johnson,4510905.0,Kobe Bufkin,4299000.0,Bones Hyland,4158439.0,David Roddy,2847240.0,Garrison Mathews,2230253.0,Vit Krejci,2162606.0
2024,Boston Celtics,Jaylen Brown,49205800.0,Jayson Tatum,34848340.0,Jrue Holiday,30000000.0,K. Porzingis,29268293.0,Derrick White,19821429.0,Al Horford,9500000.0,Payton Pritchard,6696429.0,Luke Kornet,2800834.0,B. Scheierman,2494320.0,Xavier Tillman,2237691.0,Neemias Queta,2162606.0,Sam Hauser,2092344.0,Jordan Walsh,1891857.0,Torrey Craig,1046289.0,Drew Peterson,578577.0
2024,Brooklyn Nets,Ben Simmons,39256083.0,Nicolas Claxton,27556817.0,Cameron Johnson,23062500.0,Bojan Bogdanovic,19032850.0,D'Angelo Russell,18692307.0,D. Melton,12822000.0,Ziaire Williams,6133005.0,Cam Thomas,4041249.0,Day'Ron Sharpe,3989122.0,Noah Clowney,3244080.0,Dariq Whitehead,3114342.0,Trendon Watford,2726603.0,Maxwell Lewis,1891857.0,Tyrese Martin,959732.0,Reece Beekman,578577.0
2024,Charlotte Hornets,LaMelo Ball,35147000.0,Miles Bridges,27173913.0,Jusuf Nurkic,18125000.0,Grant Williams,13025250.0,Josh Green,12654321.0,Brandon Miller,11424382.0,Josh Okogie,8250000.0,Tidjane Salaun,7488720.0,Davis Bertans,5250000.0,Tre Mann,4908373.0,Mark Williams,4094280.0,Seth Curry,3303771.0,Devonte Graham,2850000.0,Nick Smith Jr.,2587108.0,DaQuan Jeffries,2425403.0
2024,Chicago Bulls,Lonzo Ball,21395348.0,Nikola Vucevic,20000000.0,Patrick Williams,18000000.0,Kevin Huerter,16830357.0,Zach Collins,16741200.0,Coby White,12000000.0,Tre Jones,9104167.0,Jalen Smith,8571429.0,Josh Giddey,8352367.0,Ayo Dosunmu,7000000.0,Jevon Carter,6500000.0,Chris Duarte,5893768.0,Matas Buzelis,5195520.0,Dalen Terry,3510480.0,Torrey Craig,2845342.0
2024,Cleveland Cavaliers,Darius Garland,36725670.0,Donovan Mitchell,35410310.0,De'Andre Hunter,21696429.0,Jarrett Allen,20000000.0,Max Strus,15212068.0,Evan Mobley,11227657.0,Isaac Okoro,10185186.0,Dean Wade,6166667.0,Jaylon Tyson,3326160.0,Ty Jerome,2560975.0,Javonte Green,696955.0,Luke Travers,578577.0,Emoni Bates,578577.0,Ricky Rubio,424672.0,Nae'Qwan Tomlin,204840.0
2024,Dallas Mavericks,Anthony Davis,43219440.0,Kyrie Irving,40000000.0,Klay Thompson,15873016.0,PJ Washington,15500000.0,Daniel Gafford,13394160.0,Caleb Martin,9186594.0,Naji Marshall,8571429.0,Max Christie,7142857.0,Dereck Lively,5014409.0,Dwight Powell,4000000.0,S. Dinwiddie,3303771.0,O. Prosper,2870406.0,JaVale McGee,2208856.0,Jaden Hardy,2019699.0,Brandon Williams,598120.0
2024,Denver Nuggets,Nikola Jokic,51415938.0,Jamal Murray,36016200.0,M. Porter,35859950.0,Aaron Gordon,22841455.0,Zeke Nnaji,8888889.0,Dario Saric,5168000.0,R. Westbrook,3303771.0,DeAndre Jordan,3303771.0,Christian Braun,3089640.0,DaRon Holmes,3065640.0,Julian Strawther,2552596.0,Vlatko Cancar,2425403.0,Peyton Watson,2413560.0,Jalen Pickett,1891857.0,Hunter Tyson,1891857.0
2024,Detroit Pistons,Tobias Harris,25365854.0,Tim Hardaway Jr.,16193183.0,Isaiah Stewart,15000000.0,Cade Cunningham,13940809.0,Dennis Schroder,13025250.0,Ausar Thompson,8376291.0,Ron Holland,8245320.0,Jaden Ivey,7977240.0,S. Fontecchio,7692308.0,Malik Beasley,6000000.0,Jalen Duren,4536840.0,Paul Reed,4015938.0,Marcus Sasser,2755229.0,W. Moore,2537040.0,Lindy Waters III,2196970.0
2024,Golden State Warriors,Stephen Curry,55761217.0,Jimmy Butler,48798677.0,Draymond Green,24107143.0,Gary Payton II,9130000.0,Buddy Hield,8780488.0,Jonathan Kuminga,7636307.0,Moses Moody,5803269.0,B. Podziemski,3519960.0,T. Jackson-Davis,1891857.0,Gui Santos,1891857.0,Pat Spencer,869906.0,Quinten Post,789588.0,Kevin Knox II,660790.0,Jackson Rowe,244502.0,Taran Armstrong,157640.0
2024,Houston Rockets,Fred VanVleet,42846615.0,Dillon Brooks,23255493.0,Steven Adams,12600000.0,Jalen Green,12483048.0,Reed Sheppard,10098960.0,Jabari Smith,9770880.0,Amen Thompson,9249748.0,Jeff Green,8000000.0,Jae'Sean Tate,7565217.0,Alperen Sengun,5424654.0,Aaron Holiday,4668000.0,Jaden Springer,4018363.0,Tari Eason,3695160.0,Cody Zeller,3500000.0,Cam Whitmore,3379068.0
2024,Indiana Pacers,Pascal Siakam,42176400.0,T. Haliburton,42176400.0,Myles Turner,19928500.0,Obi Toppin,12975000.0,Aaron Nesmith,11000000.0,TJ McConnell,9500000.0,B. Mathurin,7245720.0,Jarace Walker,6362433.0,Isaiah Jackson,4435380.0,Thomas Bryant,2800834.0,Ben Sheppard,2663880.0,Andrew Nembhard,2019699.0,Johnny Furphy,1850842.0,Nik Stauskas,702311.0,Tony Bradley,635312.0
2024,Los Angeles Clippers,Kawhi Leonard,49205800.0,James Harden,33653846.0,Norman Powell,19241379.0,B. Bogdanovic,17260000.0,Ivica Zubac,11743210.0,Derrick Jones,9523810.0,Kris Dunn,5168000.0,Drew Eubanks,5000000.0,Nicolas Batum,4668000.0,Amir Coffey,3938271.0,Patrick Mills,3303771.0,Marjon Beauchamp,2733720.0,Kobe Brown,2534024.0,Jordan Miller,1471445.0,Cam Christie,1157153.0
2024,Los Angeles Lakers,LeBron James,48728845.0,Luka Doncic,43031940.0,Rui Hachimura,17000000.0,D. Finney-Smith,14924167.0,Austin Reaves,12976362.0,Maxi Kleber,11000000.0,Gabe Vincent,11000000.0,J. Vanderbilt,10714286.0,Dalton Knecht,3819120.0,Markieff Morris,3303771.0,Christian Wood,3036040.0,Shake Milton,2875000.0,Cam Reddish,2463946.0,Jaxson Hayes,2463946.0,Alex Len,1177206.0
2024,Memphis Grizzlies,Ja Morant,36725670.0,Desmond Bane,34005250.0,Jaren Jackson Jr,25257798.0,M. Bagley,12500000.0,Brandon Clarke,12500000.0,Luke Kennard,9250000.0,John Konchar,6165000.0,Zach Edey,5756880.0,Johnny Davis,5291160.0,Santi Aldama,3960531.0,V. Williams,2120693.0,Jay Huff,2088033.0,Scotty Pippen Jr,2087519.0,Kennedy Chandler,2019699.0,GG Jackson,1891857.0
2024,Miami Heat,Bam Adebayo,34848340.0,Tyler Herro,29000000.0,Andrew Wiggins,26276786.0,Terry Rozier,24924126.0,Duncan Robinson,19406000.0,Kyle Anderson,8780488.0,Davion Mitchell,6451077.0,H. Highsmith,5200000.0,Kel'el Ware,4231800.0,Kevin Love,3850000.0,Jaime Jaquez,3685800.0,Alec Burks,3303771.0,Nikola Jovic,2464200.0,Pelle Larsson,1157153.0,Keshad Johnson,937214.0
2024,Milwaukee Bucks,Damian Lillard,48787676.0,G. Antetokounmpo,48787676.0,Kyle Kuzma,24456060.0,Brook Lopez,23000000.0,Bobby Portis,12578286.0,Pat Connaughton,9423869.0,Taurean Prince,2988550.0,Gary Trent Jr.,2613120.0,Kevin Porter Jr.,2237691.0,Jericho Sims,2092344.0,Chris Livingston,1891857.0,Tyler Smith,1157153.0,Ryan Rollins,949888.0,Liam Robbins,578577.0,Stanley Umude,578577.0
2024,Minnesota Timberwolves,Rudy Gobert,43827586.0,Anthony Edwards,42176400.0,Julius Randle,33073920.0,Jaden McDaniels,22586207.0,Naz Reid,13986432.0,Donte DiVincenzo,11445000.0,Mike Conley,9975962.0,Rob Dillingham,6262920.0,N. Alexander-Walker,4312500.0,Joe Ingles,3303771.0,Keita Bates-Diop,2654644.0,T. Shannon,2546640.0,Luka Garza,2162606.0,Leonard Miller,1891857.0,PJ Dozier,1051255.0
2024,New Orleans Pelicans,Zion Williamson,36725670.0,CJ McCollum,33333333.0,Dejounte Murray,28817135.0,Bruce Brown,23000000.0,Herb Jones,12976362.0,Kelly Olynyk,12804878.0,Trey Murphy,5159854.0,Jordan Hawkins,4525706.0,Yves Missi,3193200.0,J. Robinson-Earl,2196970.0,Jose Alvarado,1988598.0,Javonte Green,1728448.0,Karlo Matkovic,1407153.0,Antonio Reeves,1157153.0,BJ Boston,1005158.0
2024,New York Knicks,K. Towns,49205800.0,OG Anunoby,36637932.0,Jalen Brunson,24960001.0,Mikal Bridges,23300000.0,Josh Hart,18144000.0,M. Robinson,14318182.0,Precious Achiuwa,6000000.0,Miles McBride,4710144.0,Delon Wright,3003427.0,Cameron Payne,3003427.0,Tyler Kolek,2087519.0,Pacome Dadiet,1808080.0,Ariel Hukporti,1112306.0,Matt Ryan,978541.0,P.J. Tucker,626577.0
2024,Oklahoma City Thunder,S. Gilgeous-Alexander,35859950.0,I. Hartenstein,30000000.0,Luguentz Dort,17000000.0,Isaiah Joe,12991650.0,Aaron Wiggins,10981303.0,Chet Holmgren,10880640.0,Alex Caruso,9890000.0,Kenrich Williams,6669000.0,Cason Wallace,5555920.0,Ousmane Dieng,5027040.0,Nikola Topic,4935960.0,Jalen Williams,4775760.0,Ajay Mitchell,3347451.0,Daniel Theis,2800834.0,Dillon Jones,2622360.0
2024,Orlando Magic,Jonathan Isaac,27600000.0,K. Caldwell-Pope,22757000.0,Cole Anthony,12900000.0,Paolo Banchero,12160800.0,Wendell Carter,11950000.0,Moritz Wagner,11000000.0,Jalen Suggs,9188385.0,Goga Bitadze,9057971.0,Anthony Black,7607754.0,Gary Harris,7500000.0,Franz Wagner,7007092.0,Jett Howard,5278165.0,Tristan da Silva,3628440.0,Cory Joseph,3303771.0,Mac McClung,578577.0
2024,Philadelphia 76ers,Joel Embiid,51415938.0,Paul George,49205800.0,Tyrese Maxey,35147000.0,Kelly Oubre Jr.,7983000.0,Andre Drummond,5000000.0,Quentin Grimes,4296682.0,Jared McCain,4020360.0,Kyle Lowry,3303771.0,Eric Gordon,3303771.0,G. Yabusele,2087519.0,Adem Bona,1157153.0,Jared Butler,1115697.0,Justin Edwards,782721.0,Lonnie Walker IV,780932.0,Jeff Dowtin,578577.0
2024,Phoenix Suns,Kevin Durant,51179020.0,Bradley Beal,50203930.0,Devin Booker,49205800.0,Grayson Allen,15625000.0,Royce O'Neale,9375000.0,Cody Martin,8120000.0,Vasilije Micic,7723000.0,Nick Richards,5000000.0,Mason Plumlee,3303771.0,Nassir Little,3107143.0,Tyus Jones,3003427.0,Damion Lee,2800834.0,Monte Morris,2800834.0,Ryan Dunn,2530800.0,Bol Bol,2425403.0
