season,team,P1_name,P1_salary,P2_name,P2_salary,P3_name,P3_salary,P4_name,P4_salary,P5_name,P5_salary,P6_name,P6_salary,P7_name,P7_salary,P8_name,P8_salary,P9_name,P9_salary,P10_name,P10_salary,P11_name,P11_salary,P12_name,P12_salary,P13_name,P13_salary,P14_name,P14_salary,P15_name,P15_salary
2022,Atlanta Hawks,Trae Young,37096500.0,John Collins,23500000.0,Clint Capela,18206896.0,B. Bogdanovic,18000000.0,Dejounte Murray,17071120.0,De'Andre Hunter,9835881.0,Onyeka Okongwu,6395160.0,AJ Griffin,3536160.0,Saddiq Bey,2959080.0,Jalen Johnson,2792640.0,Bruno Fernando,2717391.0,Garrison Mathews,2000000.0,Aaron Holiday,1968175.0,Vit Krejci,1563518.0,Tyrese Martin,1017781.0
2022,Boston Celtics,Jayson Tatum,30351780.0,Jaylen Brown,29776785.0,Al Horford,26500000.0,Malcolm Brogdon,22600000.0,Marcus Smart,17207142.0,Derrick White,17142857.0,Robert Williams,10714287.0,Danilo Gallinari,6479000.0,Grant Williams,4306281.0,Mike Muscala,3500000.0,Blake Griffin,2905851.0,Payton Pritchard,2239200.0,Luke Kornet,2133278.0,Sam Hauser,1637966.0,M. Kabengele,508891.0
2022,Brooklyn Nets,Ben Simmons,35448672.0,Mikal Bridges,20100000.0,S. Dinwiddie,19500000.0,Joe Harris,18642857.0,D. Finney-Smith,12939848.0,Nic Claxton,9350000.0,Royce O'Neale,9200000.0,Seth Curry,8496653.0,Patrick Mills,6479000.0,Cameron Johnson,5887899.0,Jevon Carter,3925000.0,Cam Thomas,2138160.0,Day'Ron Sharpe,2109480.0,Yuta Watanabe,1968175.0,Edmond Sumner,1968175.0
2022,Charlotte Hornets,Gordon Hayward,30075000.0,Terry Rozier,21486316.0,Kelly Oubre Jr.,12600000.0,Reggie Jackson,10876844.0,Nicolas Batum,8856969.0,LaMelo Ball,8623920.0,Cody Martin,7000000.0,PJ Washington,5808435.0,James Bouknight,4362240.0,Mark Williams,3722040.0,Kai Jones,2909040.0,Dennis Smith Jr.,2133278.0,Svi Mykhailiuk,1968175.0,Nick Richards,1782621.0,JT Thor,1563518.0
2022,Chicago Bulls,Zach LaVine,37096500.0,DeMar DeRozan,27300000.0,Nikola Vucevic,22000000.0,Lonzo Ball,19534884.0,Alex Caruso,9030000.0,Patrick Williams,7775400.0,Coby White,7413955.0,D. Jones,3200000.0,Andre Drummond,3200000.0,Dalen Terry,3191400.0,Goran Dragic,2905851.0,Tony Bradley,2036318.0,Javonte Green,1815677.0,Ayo Dosunmu,1563518.0,Marko Simonovic,1563518.0
2022,Cleveland Cavaliers,Donovan Mitchell,30913750.0,Kevin Love,27442830.0,Jarrett Allen,20000000.0,Caris LeVert,18796296.0,Darius Garland,8920794.0,Evan Mobley,8478720.0,Cedi Osman,7426088.0,Isaac Okoro,7040880.0,Ricky Rubio,5853659.0,Dylan Windler,4037277.0,Robin Lopez,2905851.0,Raul Neto,2463490.0,Danny Green,2000000.0,Dean Wade,1930681.0,Lamar Stevens,1782621.0
2022,Dallas Mavericks,Kyrie Irving,38917057.0,Luka Doncic,37096500.0,Tim Hardaway Jr.,19602273.0,Davis Bertans,16000000.0,Christian Wood,14317459.0,Dwight Powell,11080125.0,R. Bullock,10012800.0,Maxi Kleber,9000000.0,JaVale McGee,5461219.0,Josh Green,3098400.0,Markieff Morris,2905851.0,Frank Ntilikina,2036318.0,Theo Pinson,1968175.0,Tyrell Terry,1782621.0,Jaden Hardy,1017781.0
2022,Denver Nuggets,Nikola Jokic,33047803.0,Jamal Murray,31650600.0,M. Porter,30913750.0,Aaron Gordon,20690909.0,K. Caldwell-Pope,14004703.0,Bruce Brown,6479000.0,Ishmael Smith,4725000.0,Jeff Green,4500000.0,DeAndre Jordan,2905851.0,Christian Braun,2808600.0,Zeke Nnaji,2617800.0,Vlatko Cancar,2234359.0,Peyton Watson,2193960.0,Thomas Bryant,1968175.0,Reggie Jackson,580373.0
2022,Detroit Pistons,Bojan Bogdanovic,19550000.0,M. Bagley,12500000.0,Cade Cunningham,10552800.0,Alec Burks,10012800.0,James Wiseman,9603360.0,Nerlens Noel,9240000.0,Kemba Walker,9165471.0,DeAndre Jordan,7827907.0,Jaden Ivey,7252200.0,Killian Hayes,5837760.0,Hamidou Diallo,5200000.0,Cory Joseph,5155500.0,Jalen Duren,4124280.0,Isaiah Stewart,3433320.0,Dewayne Dedmon,2748674.0
2022,Golden State Warriors,Stephen Curry,48070014.0,Klay Thompson,40600080.0,Andrew Wiggins,33616770.0,Draymond Green,25806468.0,Gary Payton II,8300000.0,Kevon Looney,8000000.0,Jonathan Kuminga,5739840.0,Donte DiVincenzo,4500000.0,Jordan Poole,3901399.0,Moses Moody,3740160.0,Andre Iguodala,2905851.0,JaMychal Green,2628597.0,P. Baldwin,2226000.0,Ryan Rollins,1017781.0,Anthony Lamb,694878.0
