season,team,P1_name,P1_salary,P2_name,P2_salary,P3_name,P3_salary,P4_name,P4_salary,P5_name,P5_salary,P6_name,P6_salary,P7_name,P7_salary,P8_name,P8_salary,P9_name,P9_salary,P10_name,P10_salary,P11_name,P11_salary,P12_name,P12_salary,P13_name,P13_salary,P14_name,P14_salary,P15_name,P15_salary
2023,Atlanta Hawks,Trae Young,40064220.0,Clint Capela,20616000.0,De'Andre Hunter,20089286.0,B. Bogdanovic,18700000.0,Dejounte Murray,18214000.0,Onyeka Okongwu,8109063.0,Patrick Mills,6802950.0,Saddiq Bey,4556983.0,Kobe Bufkin,4094244.0,AJ Griffin,3712920.0,Wesley Matthews,3196448.0,Jalen Johnson,2925360.0,Bruno Fernando,2581522.0,Garrison Mathews,2000000.0,Mouhamed Gueye,1119563.0
2023,Boston Celtics,Jrue Holiday,37620347.0,K. Porzingis,36016200.0,Jayson Tatum,32600060.0,Jaylen Brown,31830357.0,Derrick White,18857143.0,Al Horford,10000000.0,Payton Pritchard,4037277.0,Luke Kornet,2413304.0,Svi Mykhailiuk,2346614.0,Jaden Springer,2226240.0,Oshae Brissett,2165000.0,Xavier Tillman,1930681.0,Sam Hauser,1927896.0,Jordan Walsh,1119563.0,Neemias Queta,641035.0
2023,Brooklyn Nets,Ben Simmons,37893408.0,Cameron Johnson,25679348.0,Mikal Bridges,21700000.0,D. Finney-Smith,13932008.0,Dennis Schroder,12405000.0,Nic Claxton,9625000.0,Thaddeus Young,8000000.0,Noah Clowney,3089460.0,Dariq Whitehead,2966040.0,Dennis Smith Jr.,2528233.0,Lonnie Walker IV,2346614.0,Keita Bates-Diop,2346614.0,Cam Thomas,2240160.0,Day'Ron Sharpe,2210040.0,Harry Giles III,2165000.0
2023,Charlotte Hornets,Kyle Lowry,28543576.0,Davis Bertans,17000000.0,Grant Williams,12405000.0,LaMelo Ball,10900635.0,Brandon Miller,10880364.0,Miles Bridges,7921300.0,Vasilije Micic,7723000.0,Cody Martin,7560000.0,Nick Richards,5000000.0,James Bouknight,4570080.0,Seth Curry,4000000.0,Mark Williams,3908160.0,Ishmael Smith,3196448.0,Tre Mann,3191400.0,Kai Jones,3047880.0
2023,Chicago Bulls,Zach LaVine,40064220.0,DeMar DeRozan,28600000.0,Lonzo Ball,20465117.0,Nikola Vucevic,18518519.0,Coby White,11111111.0,Patrick Williams,9835881.0,Alex Caruso,9460000.0,Ayo Dosunmu,6481482.0,Jevon Carter,6190476.0,Andre Drummond,3360000.0,Dalen Terry,3350760.0,Torrey Craig,2528233.0,Terry Taylor,2019706.0,Julian Phillips,1600000.0,Adama Sanogo,559782.0
2023,Cleveland Cavaliers,Darius Garland,34005250.0,Donovan Mitchell,33162030.0,Jarrett Allen,20000000.0,Caris LeVert,15384616.0,Max Strus,14487684.0,Isaac Okoro,8920794.0,Evan Mobley,8882640.0,Georges Niang,8800000.0,Dean Wade,5709877.0,Ricky Rubio,3722327.0,Tristan Thompson,3196448.0,Damian Jones,2586665.0,Ty Jerome,2439025.0,Sam Merrill,1997238.0,Craig Porter,1500000.0
2023,Dallas Mavericks,Luka Doncic,40064220.0,Kyrie Irving,38037037.0,Tim Hardaway Jr.,17897728.0,PJ Washington,16847826.0,Daniel Gafford,12402000.0,Maxi Kleber,11000000.0,Dereck Lively,4775628.0,Josh Green,4765339.0,Dwight Powell,4000000.0,Markieff Morris,3196448.0,Dante Exum,3000000.0,O. Prosper,2733720.0,D. Jones,2709849.0,JaVale McGee,2348324.0,Jaden Hardy,1719864.0
2023,Denver Nuggets,Nikola Jokic,47607350.0,Jamal Murray,33833400.0,M. Porter,33386850.0,Aaron Gordon,21266182.0,K. Caldwell-Pope,14704938.0,Reggie Jackson,5000000.0,Zeke Nnaji,4306281.0,DeAndre Jordan,3196448.0,Justin Holiday,3196448.0,Christian Braun,2949120.0,Julian Strawther,2431044.0,Peyton Watson,2303520.0,Vlatko Cancar,2234359.0,Jalen Pickett,1708143.0,Hunter Tyson,1119563.0
2023,Detroit Pistons,Joe Harris,19928571.0,Evan Fournier,18857143.0,James Wiseman,12119440.0,Cade Cunningham,11055360.0,Ausar Thompson,7977420.0,Jaden Ivey,7614480.0,Killian Hayes,7413955.0,Danilo Gallinari,6802950.0,Isaiah Stewart,5266713.0,Shake Milton,5000000.0,Jalen Duren,4330680.0,Danuel House Jr.,4310250.0,Troy Brown Jr.,4000000.0,Malachi Flynn,3873024.0,Mike Muscala,3500000.0
2023,Golden State Warriors,Stephen Curry,51915615.0,Klay Thompson,43219440.0,Chris Paul,30800000.0,Andrew Wiggins,24330357.0,Draymond Green,22321429.0,Gary Payton II,8715000.0,Kevon Looney,7500000.0,Jonathan Kuminga,6012840.0,Moses Moody,3918480.0,B. Podziemski,3352404.0,Dario Saric,2709849.0,T. Jackson-Davis,1119563.0,Lester Quinones,1108597.0,Gui Santos,1029483.0,Usman Garuba,571390.0
